topic0,zins,anleih,kredit,rendit,niedrig,spar,papi,laufzeit,anleg,darleh,staatsanleih,schuld,fallig,zin,investor,gunstig,zehnjahr,bond,langfrist,kondition,hoch,liegt,zinssatz,kapitalmarkt,volum,kurzfrist,finanzier,bundesanleih,angebot,risiko,betrag,rat,wert,biet,gering,verzins,kauf,anlag,sech,kapital,finanzi,je,lieg,vergleich,steig,verschuld,sollt,betragt,pfandbrief,entsprech,zahlt,prozentpunkt,wertpapi,ruckzahl,aktuell,attraktiv,summ,tilgung,acht,null,sieb,bietet,expert,begeb,verzin,erhoht,alternativ,bund,sparbuch,zuruckzahl,bonitat,nachfrag,effektiv,schuldn,garantiert,finanziert,angelegt,bekomm,bedeutet,steigt,durchschnitt,dah,bring,funfjahr,knapp,emission,ertrag,tagesgeld,einlag,kreditnehm,gelt,immobili,aufnehm,vorzeit,leih,beispiel,steigend,fest,seri,unternehmensanleih
topic101,verkauf,anteil,beteil,verkauft,ubernahm,ubernehm,interess,privatisier,einstieg,mehrheit,beteiligt,investor,konz,tocht,erwerb,interessent,angebot,grupp,kaufpreis,holding,interessiert,paket,trenn,eigentum,wert,besitz,preis,strateg,option,ubernomm,gesellschaft,partn,erworb,kauf,ubernimmt,biet,erlos,engagement,knapp,grossaktionar,gebot,konsortium,behalt,kapital,transaktion,restlich,woll,abgeb,gehor,abgegeb,besitzt,hand,gehort,trennung,deal,schritt,phoenix,aktienpaket,trennt,zug,zuschlag,privatisiert,komplett,finanzinvestor,vereinbart,aufstock,verhandelt,kerngeschaft,veraussert,kauft,ausstieg,abgeschloss,stehend,verlust,vernehm,verhandl,konzentri,vollstand,finanziell,aktivitat,verausser,gesprach,zerschlag,zuletzt,steigt,zustimm,einfluss,neb,ruckzug,gekauft,rest,verauss,hiess,ubrig,ursprung,eign,plan,abschluss,celesio,einbring
 ,0.085,0.054,0.052,0.025,0.015,0.013,0.013,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic102,militar,general,arme,opposition,hauptstadt,kampf,ruanda,regim,demokrat,burgerkrieg,kongo,rebell,aufstand,wahl,gewalt,republ,demokrati,exil,anhang,soldat,diktator,unruh,putsch,staatschef,sturz,trupp,ex,bevolker,massak,blutig,ruckkehr,miliz,zair,ehemal,national,gesturzt,gegn,konflikt,unabhang,offizi,kabila,hutu,fried,oppositionell,fuhr,mind,einheit,herrschaft,tausend,chaos,gewahlt,ethnisch,verfass,ausnahmezustand,tutsi,port,haiti,krieg,volk,volkermord,bewaffnet,kontroll,nation,burundi,ost,fuhrung,beobacht,kraft,kinshasa,diktatur,machthab,hut,regiert,waff,verantwort,mann,intervention,kongoles,unterstutz,tot,friedlich,oberst,front,leb,herrsch,anfuhr,junta,ordnung,versohn,ruandisch,au,nachbarland,ubergangsregier,getotet,machtkampf,angehor,sieg,rebellion,droht,zivil
 ,0.019,0.017,0.014,0.012,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic103,vorschlag,plan,konzept,berat,papi,diskussion,kommission,sollt,thema,darub,modell,vorstell,konkret,vorgeschlag,diskutiert,gemeinsam,vorstoss,empfehl,arbeitsgrupp,forder,vorgelegt,lehnt,debatt,grundsatz,gremium,beschluss,vertret,losung,initiativ,treff,off,einfuhr,vorleg,entwurf,beschloss,entsprech,ausserd,bisher,uberleg,gefordert,pladiert,sitzung,ausgesproch,tisch,punkt,einheit,einzeln,schlagt,ford,zukunft,diskuti,expert,ablehn,erarbeitet,umstritt,zustimm,besteh,erarbeit,durf,darin,festleg,abgelehnt,position,hinaus,grundlag,form,teilnehm,ziel,unterschied,vorgestellt,umfass,detail,ansicht,begrusst,abschaff,enthalt,meinung,eingesetzt,legt,zentral,abgestimmt,bestimmt,prasentiert,notwend,befurwort,innerhalb,einzufuhr,verschied,massnahm,unterstutzt,umgesetzt,befass,alternativ,schritt,neb,ergebnis,sogenannt,darum,schlug,skeptisch
 ,0.059,0.023,0.02,0.017,0.015,0.014,0.014,0.013,0.013,0.01,0.01,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic104,russland,russisch,moskau,putin,jelzin,wladimir,russ,tschetscheni,kreml,georgi,tschetschen,west,sowjetunion,weissrussland,krieg,sowjet,moskaus,republ,medwedjew,grosny,westlich,kaukasus,petersburg,interfax,nachrichtenagentur,duma,michail,kommunist,lukaschenko,yukos,georgisch,fuhrung,unabhang,tschernomyrdin,weissruss,tschetsch,minsk,gorbatschow,konflikt,dmitrij,osz,nato,meldet,kasachstan,st,lebed,chodorkowskij,ministerprasident,agentur,primakow,gus,hauptstadt,tass,oligarch,region,saakaschwili,staatschef,lawrow,kremlchef,tiflis,itar,abtrunn,entlass,ehemal,abchasi,medi,wiktor,udssr,zusammenarbeit,sudosseti,alexej,offiziell,ost,sowjetrepubl,stellvertret,gebiet,staatlich,kontroll,usbekistan,fsb,sjuganow,maschadow,viz,foderation,kgb,regierungschef,bezieh,kalt,jewgenij,leit,prasidentenwahl,dagestan,organisation,gouverneur,anatolij,sotschi,sankt,kommersant,kirijenko,beobacht
 ,0.12,0.111,0.073,0.04,0.024,0.016,0.016,0.014,0.012,0.01,0.008,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic105,brasili,argentini,mexiko,de,brasilian,chil,castro,buenos,venezuela,mexikan,pinochet,air,rio,argentin,lateinamerika,la,kuban,chávez,kirchn,staatschef,lula,chavez,cuba,fidel,ecuador,havanna,moral,prasidentin,paulo,link,diktator,bolivi,ehemal,chilen,silva,janeiro,sudamerikan,lateinamerikan,revolution,venezolan,cuban,el,maduro,caracas,costa,rousseff,venezuelas,diktatur,guatemala,santiago,sao,lateinamerikas,salvador,sudamerika,peru,sozialist,zuletzt,fernando,bundesstaat,nicaragua,men,stadt,peso,arm,hauptstadt,ex,mexikos,staatlich,kurzlich,honduras,real,afp,paraguay,miami,korruption,oberst,ausserd,inzwisch,augusto,ortega,uruguay,liess,jorg,laut,kubas,spanisch,mercosur,obwohl,são,offiziell,militardiktatur,jos,trotz,ebenfall,gehort,region,verkundet,do,gouverneur,national
 ,0.025,0.02,0.015,0.013,0.013,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic106,agypt,liby,kairo,kanad,kanada,mubarak,gaddafi,arab,tunesi,libysch,el,islamist,nah,marokko,liga,revolution,regim,tripolis,sturz,muslimbrud,kanadi,mursi,kanadas,ausland,fuhr,ost,staatschef,offiziell,muammar,hosni,nachd,provinz,toronto,laut,platz,vertret,gaddafis,marokkan,algeri,unterstutz,tunes,national,diktator,sohn,unabhang,harp,sisi,offenbar,inzwisch,tunis,versucht,gesturzt,abdel,sech,vancouv,einzig,zuvor,medi,nordafrika,ottawa,botschaft,obwohl,liess,prot,bengasi,bislang,verantwort,februar,zeigt,beginn,sinai,aufstand,machthab,trotz,hand,region,gebracht,hauptstadt,wust,neb,seh,hilf,west,nordafrikan,setzt,gemacht,ebenfall,seit,tahrir,sprach,herrsch,dennoch,ebenso,westlich,versuch,stellt,zusamm,gehort,angeb,ging
 ,0.052,0.029,0.021,0.019,0.017,0.014,0.012,0.012,0.011,0.011,0.01,0.009,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic107,turkei,turkisch,ankara,pkk,istanbul,kurd,kurdisch,turk,gbrev,akp,tayyip,erdo,zyp,ocalan,verbot,armeni,premi,arbeiterpartei,recep,insel,kurdistan,abdullah,kampf,eu,gul,nordirak,staatsprasident,erbakan,cill,islam,militar,sudost,fuhr,republ,griechisch,mitglied,ecevit,unterstutz,sprach,erdogan,beweg,kaplan,grenz,bislang,konflikt,journalist,ankaras,armen,ministerprasident,berichtet,mitgliedschaft,nord,geteilt,osman,medi,regierungschef,nationalist,aussenminist,anhang,bezieh,nah,parlament,beitritt,seit,afp,cyp,inodot,chp,aufnahm,offiziell,beitrittsverhandl,zuvor,lu,hurriyet,verlangt,donnerstag,hdp,bulent,islamist,putschversuch,verhaltnis,zuletzt,scedil,besuch,droht,ataturk,partei,nachrichtenagentur,wort,arme,denktasch,organisation,tansu,erstmal,zollunion,bosporus,unabhang,ans,mhp,menschenrecht
 ,0.102,0.082,0.029,0.022,0.021,0.018,0.017,0.014,0.01,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
topic108,stund,uhr,nacht,minut,abend,sech,morg,samstag,acht,sieb,brauerei,wochen,donnerstag,bier,zwolf,halb,neun,spat,nachmittag,zuvor,ging,danach,brunn,dauert,zunach,feiertag,brau,statt,bleib,fest,hag,elf,geschloss,zusamm,beginn,stand,knapp,taglich,geoffnet,mitternacht,blieb,kurz,grupp,paus,setzt,nachd,binn,beginnt,neb,legt,mittag,lauf,trotz,schlaf,offn,laut,dritt,berichtet,innerhalb,vormittag,gegeb,ebenfall,sonntag,insgesamt,mindest,erreicht,ausserd,planegg,marz,hektolit,dau,sofort,anschliess,gesamt,voll,fuhrt,gehort,verlass,dortmund,gehor,normal,obwohl,erstmal,gebracht,grafelfing,haus,fuhr,schorghub,jeweil,gekomm,ubrig,sekund,wollt,nahm,meldet,gegang,erwartet,beendet,bevor,endet
 ,0.069,0.052,0.022,0.021,0.02,0.019,0.018,0.017,0.015,0.013,0.011,0.011,0.01,0.01,0.01,0.009,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic109,nam,geschicht,jahrhundert,kultur,histor,leb,gehort,tradition,sprach,modern,begriff,wort,bedeut,generation,preis,kunst,beruhmt,art,ausgezeichnet,auszeichn,bild,englisch,heutig,jahrzehnt,einst,verlieh,gebor,erb,goeth,werk,republ,kulturell,bezeichn,geword,weltkrieg,symbol,stolz,entstand,form,gesellschaft,ide,prinz,nobelpreis,funfzig,sinn,nie,denk,nenn,stammt,konig,geburtstag,schriftstell,geist,vorbild,stuck,verstand,ehr,gepragt,benannt,verleih,begann,schatz,schrieb,gegenwart,schloss,erfind,ebenso,best,gehor,revolution,philosoph,eher,fuhrt,titel,mythos,literatur,fand,dritt,erinnert,vergeb,entwickelt,heiss,zwanzig,unesco,buchstab,sechzig,geschrieb,gestalt,ord,akademi,siebzig,statt,spat,verdien,mittelalt,ubrig,person,ahnlich,trag,buch
 ,0.023,0.016,0.016,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic110,kommend,termin,zunach,ursprung,beginn,verschob,erwartet,septemb,frist,verschieb,donnerstag,voraussicht,herb,vorgeseh,bislang,verlangert,januar,rechn,endgult,juli,oktob,verlanger,zeitpunkt,spatest,fest,angekundigt,juni,fruhjahr,hiess,erwart,wart,erneut,zeitplan,innerhalb,mindest,stattfind,verzoger,novemb,vorerst,entschied,dezemb,vorbereit,wann,dau,genannt,darub,ablauf,fruhest,mitt,marz,dahin,verzogert,danach,unklar,wahrschein,treff,verlang,bisher,beschluss,moglicherweis,abgeschloss,spat,lauf,gerechnet,gestellt,sitzung,schnell,festgelegt,rasch,ledig,vorleg,entsprech,datum,vorlauf,angesetzt,sollt,phas,kundigt,ebenfall,verzog,abwart,zeitlich,februar,offiziell,weiterhin,zusatz,beginnt,rechtzeit,laufend,abschliess,detail,angenomm,anschliess,festleg,lieg,begonn,verschiebt,gegeb,rechnet,demnach
 ,0.03,0.02,0.02,0.019,0.018,0.017,0.016,0.015,0.015,0.014,0.014,0.013,0.013,0.011,0.011,0.011,0.011,0.011,0.01,0.01,0.01,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
topic111,problem,probl,losung,schnell,los,schwierig,braucht,sorg,gefahr,einfach,genug,brauch,notig,zukunft,helf,tun,schwer,eigent,bleibt,gerad,find,daran,bleib,schaff,dringend,endlich,bald,druck,bekomm,bring,niemand,aufgab,dah,wirklich,lasst,richtig,gelost,gar,fehl,fehlt,such,situation,darum,je,liegt,dau,and,kompliziert,wohl,sollt,uberhaupt,solang,verli,genau,schlecht,alternativ,leist,chanc,tatsach,ohnehin,leicht,hoff,hilft,leid,all,statt,wiss,folg,vertrau,sag,glaubt,desto,antwort,wach,gerat,dilemma,lauft,darf,einzig,unsich,womog,enorm,trotzd,setz,schliesslich,verhind,sicht,gelingt,reicht,griff,gleichzeit,wed,nehm,versuch,bekommt,funktioniert,wart,risiko,besteht,entwed
 ,0.038,0.034,0.02,0.018,0.017,0.015,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic112,verhandl,gesprach,vertrag,abkomm,vereinbar,seit,kompromiss,streit,vereinbart,losung,unterzeichnet,verhandeln,verhandelt,treff,beding,geeinigt,vertret,zustimm,unterzeichn,scheit,zugestandnis,ergebnis,erzielt,forder,ausgehandelt,abschluss,gemeinsam,einigt,beginn,angebot,zusag,fortschritt,verstandigt,unterhandl,punkt,hiess,gescheitert,erklar,geschloss,durchbruch,detail,gegenzug,verpflicht,endgult,beteiligt,akzepti,position,umstritt,umsetz,zunach,abgelehnt,verlangt,strittig,lehnt,tisch,verzicht,wollt,zugestimmt,beigelegt,grundsatz,unterschrieb,off,beendet,abgeschloss,akzeptiert,donnerstag,ubereinkunft,konkret,gefund,berat,delegation,schwierig,garanti,grundlag,voraussetz,verpflichtet,vorgeseh,geklart,zugesagt,deal,sollt,verhandlungsfuhr,zah,fortgesetzt,getroff,bereitschaft,signalisiert,aufgenomm,beweg,besteh,gefordert,differenz,annaher,verlautet,verhandlungsrund,schritt,festgelegt,unterschrift,ring,umfass
 ,0.063,0.05,0.035,0.028,0.022,0.021,0.017,0.015,0.015,0.014,0.011,0.01,0.01,0.01,0.009,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic113,mitglied,stiftung,organisation,verein,initiativ,spend,vertret,unterstutz,grupp,gegrundet,aktion,kampagn,gesellschaft,helf,engagement,aktiv,unterstutzt,projekt,verband,organisiert,einricht,interess,vorsitz,gehor,grundung,unabhang,beweg,hilf,sitz,ehrenamt,sozial,ziel,gemeinnutz,unterschrift,einfluss,zweck,zusamm,tatig,ford,engagiert,aufgab,burg,finanziert,forum,zentral,institution,freiwill,rat,person,finanziell,gehort,darunt,direkt,initiator,netzwerk,gesammelt,nam,inzwisch,engagi,leit,lobbyist,nehm,werb,kontakt,ausserd,art,tun,sammeln,anlieg,mitgliedschaft,veranstalt,verfug,list,darum,ide,zahlt,zentrum,zahlreich,nah,aufmerksam,teilnehm,organisi,verwalt,aktuell,aktivitat,mittlerweil,erfahr,verteilt,rot,organisator,vorbild,thema,verschied,geruf,kampf,struktur,einsetz,kreuz,kumm,aktivist
 ,0.048,0.038,0.038,0.029,0.02,0.017,0.017,0.014,0.013,0.012,0.011,0.01,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic114,stadt,wohnung,miet,kommun,haus,gemeind,immobili,burgermeist,vermiet,wohn,grundstuck,quadratmet,kommunal,burg,gebaud,region,einwohn,eigentum,grossstadt,oberburgermeist,frankfurt,objekt,stadtisch,flach,rathaus,umzug,verwalt,landkreis,leer,stadtetag,hauptstadt,bau,wohnungsbau,privat,metropol,stadtrat,besitz,makl,bewohn,haushalt,raum,wohnraum,knapp,genutzt,ort,gebaut,ortlich,vermietet,entsteh,gewerbesteu,sozial,bundesweit,mieterbund,landlich,beispiel,eigentumswohn,eigenheim,buros,zieh,innenstadt,kommunalpolit,stadtverwalt,stadtteil,viertel,immobilienmarkt,city,main,bestand,bleib,mietvertrag,durf,lokal,hoch,wand,angebot,neubau,gemeinderat,leb,bezahlbar,einfamilienhaus,zahlt,wohnungsmarkt,famili,heizung,pro,buro,gebiet,hausbesitz,modernisier,lieg,neubaut,gunstig,leist,sanier,oft,sozialwohn,verband,oberburgermeisterin,topf,entstand
 ,0.094,0.036,0.028,0.025,0.023,0.021,0.019,0.014,0.011,0.01,0.009,0.009,0.009,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001
topic115,rwe,eon,wettbewerb,strom,versorg,konz,energi,kartellamt,konzern,enbw,bundeskartellamt,ess,stadtwerk,gas,veba,dusseldorf,energieversorg,preis,viag,ruhrgas,energiekonz,ag,energiekonzern,kund,anbiet,verbrauch,edf,netz,konkurrent,tocht,behord,liberalisier,stromversorg,grossmann,strompreis,wettbewerbshut,kartell,vattenfall,konkurrenz,monopol,strommarkt,bog,auflag,beteil,haushalt,on,bewag,kartellrecht,endesa,kommunal,regional,claass,beteiligt,energiemarkt,stellung,suez,wirtschaftsminist,kraftwerk,bayernwerk,bernotat,marktbeherrsch,privat,bundeswirtschaftsminist,kilowattstund,vew,stromkonzern,gasversorg,wettbewerbsrecht,energy,steag,teyss,preisabsprach,wettbewerbsbehord,stromerzeug,veag,gaspreis,hew,bonn,pow,teilt,kartellbehord,absprach,investition,ministererlaubnis,branch,bundeswirtschaftsministerium,monopolist,vertrag,gdf,gasmarkt,stromnetz,kundigt,stromkonz,firm,marktmacht,wasserversorg,erheb,bundesnetzagentur,preiserhoh,wass
 ,0.036,0.03,0.026,0.019,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.007,0.007,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
topic116,prozess,gericht,angeklagt,verfahr,anklag,verurteilt,verteid,urteil,staatsanwaltschaft,haft,landgericht,anwalt,zeug,ehemal,aussag,ex,justiz,vorwurf,staatsanwalt,schuldig,jahrig,straf,bewahr,verantwort,verurteil,haftstraf,vorgeworf,vorsitz,freispruch,mord,beschuldigt,gefangnis,oberlandesgericht,damal,tat,schwer,antrag,jurist,versucht,erhob,geldstraf,beweis,beihilf,freigesproch,beantragt,gestandnis,freiheitsstraf,wirft,gefordert,mandant,lebenslang,zschap,sech,gestand,gemacht,untreu,gerichtssaal,richterin,revision,untersuchungshaft,gesproch,bewahrungsstraf,unschuld,erwies,bundesanwaltschaft,verhangt,eingestellt,pfahl,vernehm,strafverfahr,strafprozess,verhandlungstag,mild,mutmass,amtsgericht,verhandl,bundesgerichtshof,anklageschrift,sah,einstell,beteiligt,pladoy,ermittl,rechtskraft,mitangeklagt,strafrecht,strafmass,strafkamm,bestritt,last,neun,gelegt,anklagebank,totschlag,beginn,eid,bestreitet,ddr,aufgehob,nebenklag
